Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
42       5.05716707e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.52694091e-09    3.96866353e-09
43       5.05936433e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.52918454e-09    3.97019141e-09
44       5.06156160e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.53142219e-09    3.97171219e-09
45       5.06375886e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.53365386e-09    3.97322591e-09
46       5.06595613e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.53587956e-09    3.97473258e-09
47       5.06815340e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.53809930e-09    3.97623224e-09
48       5.07035066e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.54031307e-09    3.97772491e-09
49       5.07254793e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.54252088e-09    3.97921062e-09
50       5.07474519e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.54472274e-09    3.98068940e-09
51       5.07913972e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.54910862e-09    3.98362628e-09
52       5.08353426e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.55347074e-09    3.98653577e-09
53       5.08792879e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.55780915e-09    3.98941808e-09
54       5.09232332e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.56212388e-09    3.99227345e-09
55       5.09671785e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.56641498e-09    3.99510209e-09
56       5.10111238e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.57068251e-09    3.99790423e-09
57       5.10550691e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.57492649e-09    4.00068010e-09
58       5.10990144e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.57914700e-09    4.00342993e-09
59       5.11429597e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.58334407e-09    4.00615394e-09
60       5.11869051e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.58751777e-09    4.00885235e-09
61       5.12308504e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.59166815e-09    4.01152541e-09
62       5.12747957e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.59579526e-09    4.01417333e-09
63       5.13187410e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.59989917e-09    4.01679634e-09
64       5.13626863e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.60397992e-09    4.01939468e-09
65       5.14066316e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.60803760e-09    4.02196856e-09
66       5.14505769e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.61207225e-09    4.02451823e-09
67       5.14945222e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.61608395e-09    4.02704390e-09
68       5.15384676e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.62007275e-09    4.02954581e-09
69       5.15824129e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.62403873e-09    4.03202417e-09
70       5.16263582e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.62798195e-09    4.03447922e-09
71       5.16703035e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.63190249e-09    4.03691119e-09
72       5.17142488e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.63580041e-09    4.03932029e-09
73       5.17581941e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.63967578e-09    4.04170675e-09
74       5.18021394e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.64352868e-09    4.04407080e-09
75       5.18460847e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.64735919e-09    4.04641266e-09
76       5.18900301e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.65116737e-09    4.04873255e-09
77       5.19339754e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.65495331e-09    4.05103069e-09
78       5.19779207e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.65871708e-09    4.05330730e-09
79       5.20218660e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.66245875e-09    4.05556261e-09
80       5.20658113e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.66617842e-09    4.05779682e-09
81       5.21097566e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.66987615e-09    4.06001016e-09
82       5.21537019e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.67355202e-09    4.06220283e-09
83       5.21976472e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.67720613e-09    4.06437507e-09
84       5.22415926e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.68083855e-09    4.06652707e-09
85       5.22855379e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.68444936e-09    4.06865905e-09
86       5.23294832e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.68803866e-09    4.07077122e-09
87       5.23734285e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.69160651e-09    4.07286379e-09
88       5.24173738e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.69515301e-09    4.07493697e-09
89       5.24613191e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.69867824e-09    4.07699097e-09
90       5.25052644e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.70218230e-09    4.07902598e-09
91       5.25492097e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.70566525e-09    4.08104221e-09
92       5.25931551e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.70912721e-09    4.08303986e-09
93       5.26371004e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.71256824e-09    4.08501914e-09
94       5.26810457e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.71598844e-09    4.08698024e-09
95       5.27249910e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.71938790e-09    4.08892336e-09
