Index       TIME              V(A)              V(B)             V(CIN)             V(D)              V(S)              V(C)             V(_04_)           V(_05_)           V(_01_)           V(_02_)           V(_03_)           V(_00_)     
22       1.75156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.10187500e-01    4.29594488e-09    1.28878219e-08    1.19999999e+00    1.19999999e+00    2.33767348e-05    1.19999991e+00    1.19999985e+00    1.42945117e-05
23       1.95156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.34187500e-01    4.29594185e-09    1.28878339e-08    1.20000001e+00    1.20000000e+00    2.00631613e-05    1.20000008e+00    1.20000012e+00    1.03603954e-05
24       2.15156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.58187500e-01    4.29594439e-09    1.28878271e-08    1.19999999e+00    1.19999999e+00    1.60096682e-05    1.19999992e+00    1.19999989e+00    9.73651580e-06
25       2.35156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.82187500e-01    4.29594236e-09    1.28878313e-08    1.20000000e+00    1.20000000e+00    1.43157153e-05    1.20000007e+00    1.20000009e+00    7.12988307e-06
26       2.55156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.06187500e-01    4.29594408e-09    1.28878284e-08    1.19999999e+00    1.19999999e+00    1.16442218e-05    1.19999992e+00    1.19999991e+00    7.07253365e-06
27       2.75156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.30187500e-01    4.29594232e-09    1.28878305e-08    1.20000000e+00    1.20000000e+00    1.07325927e-05    1.20000006e+00    1.20000007e+00    5.19816907e-06
28       2.95156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.54187500e-01    4.29594407e-09    1.28878289e-08    1.19999999e+00    1.20000000e+00    8.84883709e-06    1.19999993e+00    1.19999993e+00    5.37404453e-06
29       3.15156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.78187500e-01    4.29594232e-09    1.28878304e-08    1.20000000e+00    1.20000000e+00    8.34535800e-06    1.20000006e+00    1.20000006e+00    3.95654710e-06
30       3.35156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.02187500e-01    4.29594407e-09    1.28878288e-08    1.19999999e+00    1.20000000e+00    6.95337439e-06    1.19999994e+00    1.19999994e+00    4.22123639e-06
31       3.55156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.26187500e-01    4.29594232e-09    1.28878305e-08    1.20000000e+00    1.20000000e+00    6.67360189e-06    1.20000005e+00    1.20000005e+00    3.11408178e-06
32       3.75156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.50187500e-01    4.29594407e-09    1.28878290e-08    1.19999999e+00    1.20000000e+00    5.61009669e-06    1.19999994e+00    1.19999995e+00    3.40118113e-06
33       3.95156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.74187500e-01    4.29594231e-09    1.28878304e-08    1.20000000e+00    1.20000000e+00    5.45664462e-06    1.20000005e+00    1.20000004e+00    2.51767606e-06
34       4.15156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.98187500e-01    4.29594408e-09    1.28878288e-08    1.19999999e+00    1.20000000e+00    4.62403255e-06    1.19999995e+00    1.19999995e+00    2.79621550e-06
35       4.35156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.22187500e-01    4.29594231e-09    1.28878305e-08    1.20000000e+00    1.20000000e+00    4.54894589e-06    1.20000004e+00    1.20000004e+00    2.08069062e-06
36       4.55156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46187500e-01    4.29594408e-09    1.28878290e-08    1.19999999e+00    1.20000000e+00    3.90769526e-06    1.19999995e+00    1.19999996e+00    2.33683623e-06
37       4.75156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.70187500e-01    4.29594231e-09    1.28878304e-08    1.20000000e+00    1.20000000e+00    3.92267713e-06    1.20000004e+00    1.20000003e+00    1.75122076e-06
38       4.95156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.94187500e-01    4.29594408e-09    1.28878288e-08    1.20000000e+00    1.20000000e+00    3.47067944e-06    1.19999995e+00    1.19999996e+00    1.97973404e-06
39       5.15156250e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.18187500e-01    4.29594231e-09    1.28878303e-08    1.20000000e+00    1.20000000e+00    3.67473344e-06    1.20000003e+00    1.20000003e+00    1.49671008e-06
40       5.18151140e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.21781367e-01    4.29594309e-09    1.28878298e-08    1.20000000e+00    1.20000000e+00    3.58543300e-06    1.20000000e+00    1.20000000e+00    1.62386750e-06
41       5.21146029e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.25375235e-01    4.29594321e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    3.58264651e-06    1.19999999e+00    1.19999999e+00    1.63792264e-06
42       5.27135808e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.32562970e-01    4.29594312e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    3.68517914e-06    1.20000000e+00    1.20000000e+00    1.58158666e-06
43       5.33125587e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.39750705e-01    4.29594325e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    3.82504223e-06    1.19999999e+00    1.19999999e+00    1.56190417e-06
44       5.39115366e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.46938440e-01    4.29594313e-09    1.28878296e-08    1.20000000e+00    1.20000000e+00    4.06839492e-06    1.20000000e+00    1.20000000e+00    1.51680542e-06
