TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
3.35000000e-09,3.35000000e-09,-2.32581281e-12,-2.79097537e-12,2.79097537e-12
3.40000000e-09,3.40000000e-09,-2.32580731e-12,-2.79096877e-12,2.79096877e-12
3.45000000e-09,3.45000000e-09,-2.32581289e-12,-2.79097547e-12,2.79097547e-12
3.50000000e-09,3.50000000e-09,-2.32580723e-12,-2.79096867e-12,2.79096867e-12
3.55000000e-09,3.55000000e-09,-2.32581297e-12,-2.79097557e-12,2.79097557e-12
3.60000000e-09,3.60000000e-09,-2.32580714e-12,-2.79096857e-12,2.79096857e-12
3.65000000e-09,3.65000000e-09,-2.32581306e-12,-2.79097567e-12,2.79097567e-12
3.70000000e-09,3.70000000e-09,-2.32580706e-12,-2.79096847e-12,2.79096847e-12
3.75000000e-09,3.75000000e-09,-2.32581314e-12,-2.79097577e-12,2.79097577e-12
3.80000000e-09,3.80000000e-09,-2.32580698e-12,-2.79096837e-12,2.79096837e-12
3.85000000e-09,3.85000000e-09,-2.32581322e-12,-2.79097587e-12,2.79097587e-12
3.90000000e-09,3.90000000e-09,-2.32580689e-12,-2.79096827e-12,2.79096827e-12
3.95000000e-09,3.95000000e-09,-2.32581331e-12,-2.79097597e-12,2.79097597e-12
4.00000000e-09,4.00000000e-09,-2.32580681e-12,-2.79096817e-12,2.79096817e-12
4.05000000e-09,4.05000000e-09,-2.32581339e-12,-2.79097607e-12,2.79097607e-12
4.10000000e-09,4.10000000e-09,-2.32580673e-12,-2.79096807e-12,2.79096807e-12
4.15000000e-09,4.15000000e-09,-2.32581347e-12,-2.79097617e-12,2.79097617e-12
4.20000000e-09,4.20000000e-09,-2.32580664e-12,-2.79096797e-12,2.79096797e-12
4.25000000e-09,4.25000000e-09,-2.32581356e-12,-2.79097627e-12,2.79097627e-12
4.30000000e-09,4.30000000e-09,-2.32580656e-12,-2.79096787e-12,2.79096787e-12
4.35000000e-09,4.35000000e-09,-2.32581364e-12,-2.79097637e-12,2.79097637e-12
4.40000000e-09,4.40000000e-09,-2.32580647e-12,-2.79096777e-12,2.79096777e-12
4.45000000e-09,4.45000000e-09,-2.32581373e-12,-2.79097647e-12,2.79097647e-12
4.50000000e-09,4.50000000e-09,-2.32580639e-12,-2.79096767e-12,2.79096767e-12
4.55000000e-09,4.55000000e-09,-2.32581381e-12,-2.79097657e-12,2.79097657e-12
4.60000000e-09,4.60000000e-09,-2.32580631e-12,-2.79096757e-12,2.79096757e-12
4.65000000e-09,4.65000000e-09,-2.32581389e-12,-2.79097667e-12,2.79097667e-12
4.70000000e-09,4.70000000e-09,-2.32580622e-12,-2.79096747e-12,2.79096747e-12
4.75000000e-09,4.75000000e-09,-2.32581398e-12,-2.79097677e-12,2.79097677e-12
4.80000000e-09,4.80000000e-09,-2.32580614e-12,-2.79096737e-12,2.79096737e-12
4.85000000e-09,4.85000000e-09,-2.32581406e-12,-2.79097687e-12,2.79097687e-12
4.90000000e-09,4.90000000e-09,-2.32580606e-12,-2.79096727e-12,2.79096727e-12
4.95000000e-09,4.95000000e-09,-2.32581414e-12,-2.79097697e-12,2.79097697e-12
5.00000000e-09,5.00000000e-09,-2.32580597e-12,-2.79096717e-12,2.79096717e-12
5.05000000e-09,5.05000000e-09,-2.32581423e-12,-2.79097707e-12,2.79097707e-12
5.10000000e-09,5.10000000e-09,-2.32580589e-12,-2.79096707e-12,2.79096707e-12
5.15000000e-09,5.15000000e-09,-2.32581431e-12,-2.79097717e-12,2.79097717e-12
5.20000000e-09,5.20000000e-09,-2.32580581e-12,-2.79096697e-12,2.79096697e-12
5.25000000e-09,5.25000000e-09,-2.32581439e-12,-2.79097727e-12,2.79097727e-12
5.30000000e-09,5.30000000e-09,-2.32580572e-12,-2.79096687e-12,2.79096687e-12
5.35000000e-09,5.35000000e-09,-2.32581448e-12,-2.79097737e-12,2.79097737e-12
5.40000000e-09,5.40000000e-09,-2.32580564e-12,-2.79096677e-12,2.79096677e-12
