TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
5.80938880e-09,5.80938880e-09,-7.35444274e-05,-8.82533128e-05,8.82533128e-05
5.81875170e-09,5.81875170e-09,-8.79270726e-05,-1.05512487e-04,1.05512487e-04
5.82811460e-09,5.82811460e-09,-1.04158297e-04,-1.24989956e-04,1.24989956e-04
5.83747750e-09,5.83747750e-09,-1.22424638e-04,-1.46909565e-04,1.46909565e-04
5.84684040e-09,5.84684040e-09,-1.40965188e-04,-1.69158225e-04,1.69158225e-04
5.85526701e-09,5.85526701e-09,-1.46874573e-04,-1.76249488e-04,1.76249488e-04
5.86272078e-09,5.86272078e-09,-1.38156406e-04,-1.65787688e-04,1.65787688e-04
5.87017455e-09,5.87017455e-09,-1.18973803e-04,-1.42768564e-04,1.42768564e-04
5.87762833e-09,5.87762833e-09,-9.49172910e-05,-1.13900749e-04,1.13900749e-04
5.88508210e-09,5.88508210e-09,-7.09676605e-05,-8.51611925e-05,8.51611925e-05
5.89253588e-09,5.89253588e-09,-5.02225154e-05,-6.02670185e-05,6.02670185e-05
5.89998965e-09,5.89998965e-09,-4.56073768e-05,-5.47288521e-05,5.47288521e-05
5.90744343e-09,5.90744343e-09,-8.41098045e-05,-1.00931765e-04,1.00931765e-04
5.91415182e-09,5.91415182e-09,-1.48931709e-04,-1.78718051e-04,1.78718051e-04
5.92000366e-09,5.92000366e-09,-2.11509889e-04,-2.53811867e-04,2.53811867e-04
5.92527032e-09,5.92527032e-09,-2.62850280e-04,-3.15420336e-04,3.15420336e-04
5.93053697e-09,5.93053697e-09,-3.05880207e-04,-3.67056249e-04,3.67056249e-04
5.93580363e-09,5.93580363e-09,-3.40053657e-04,-4.08064388e-04,4.08064388e-04
5.94107028e-09,5.94107028e-09,-3.66208814e-04,-4.39450577e-04,4.39450577e-04
5.94633694e-09,5.94633694e-09,-3.55187857e-04,-4.26225428e-04,4.26225428e-04
5.95160359e-09,5.95160359e-09,-2.90939605e-04,-3.49127526e-04,3.49127526e-04
5.95687025e-09,5.95687025e-09,-2.05410967e-04,-2.46493161e-04,2.46493161e-04
5.96161024e-09,5.96161024e-09,-1.37146634e-04,-1.64575961e-04,1.64575961e-04
5.96635023e-09,5.96635023e-09,-8.69968279e-05,-1.04396193e-04,1.04396193e-04
5.97109022e-09,5.97109022e-09,-5.39543355e-05,-6.47452026e-05,6.47452026e-05
5.97583021e-09,5.97583021e-09,-3.34870446e-05,-4.01844536e-05,4.01844536e-05
5.98531018e-09,5.98531018e-09,-1.29949198e-05,-1.55939037e-05,1.55939037e-05
5.99479016e-09,5.99479016e-09,-6.30897927e-06,-7.57077513e-06,7.57077513e-06
6.00427014e-09,6.00427014e-09,-3.84240631e-06,-4.61088757e-06,4.61088757e-06
6.02323010e-09,6.02323010e-09,-1.97941654e-06,-2.37529985e-06,2.37529985e-06
6.04219006e-09,6.04219006e-09,-1.34804208e-06,-1.61765050e-06,1.61765050e-06
6.08010998e-09,6.08010998e-09,-6.98854176e-07,-8.38625011e-07,8.38625011e-07
6.11802989e-09,6.11802989e-09,-4.43161958e-07,-5.31794349e-07,5.31794349e-07
6.19386973e-09,6.19386973e-09,-2.09698072e-07,-2.51637687e-07,2.51637687e-07
6.26970956e-09,6.26970956e-09,-1.29577988e-07,-1.55493586e-07,1.55493586e-07
6.42138923e-09,6.42138923e-09,-5.64605066e-08,-6.77526079e-08,6.77526079e-08
6.57306889e-09,6.57306889e-09,-3.59511283e-08,-4.31413540e-08,4.31413540e-08
6.77306889e-09,6.77306889e-09,-1.83520207e-08,-2.20224248e-08,2.20224248e-08
6.97306889e-09,6.97306889e-09,-1.43606444e-08,-1.72327733e-08,1.72327733e-08
7.17306889e-09,7.17306889e-09,-8.13109087e-09,-9.75730904e-09,9.75730904e-09
7.37306889e-09,7.37306889e-09,-7.86953482e-09,-9.44344179e-09,9.44344179e-09
7.57306889e-09,7.57306889e-09,-4.53721969e-09,-5.44466363e-09,5.44466363e-09
7.77306889e-09,7.77306889e-09,-4.99102874e-09,-5.98923449e-09,5.98923449e-09
7.97306889e-09,7.97306889e-09,-2.90082566e-09,-3.48099079e-09,3.48099079e-09
8.17306889e-09,8.17306889e-09,-3.44150529e-09,-4.12980635e-09,4.12980635e-09
8.37306889e-09,8.37306889e-09,-2.03355091e-09,-2.44026110e-09,2.44026110e-09
8.57306889e-09,8.57306889e-09,-2.50563382e-09,-3.00676059e-09,3.00676059e-09
8.77306889e-09,8.77306889e-09,-1.52305127e-09,-1.82766153e-09,1.82766153e-09
