state	MRED	PDP
7,5,7,7,7,7,5,6,5	0.047393	193.330847
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,6	0.014739	204.038318
7,7,7,7,7,7,6,6,5	0.058783	192.744604
6,6,1,0,6,6,6,4,4	0.005818	214.503819
6,6,1,0,3,6,6,4,4	0.006695	213.888602
6,6,1,0,7,6,6,4,4	0.006815	212.819015
6,6,6,6,7,6,6,6,6	0.014739	204.038318
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,5,5	0.048171	193.315748
6,6,1,0,6,6,6,4,4	0.005818	214.503819
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,7,6,6,4	0.017202	202.764277
6,6,6,6,7,7,6,6,6	0.019580	201.824189
6,6,6,6,6,7,6,6,5	0.026890	198.203997
6,1,1,0,6,6,2,0,4	0.004831	225.081298
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,7,6,6,4	0.017202	202.764277
7,6,6,6,6,7,6,6,5	0.034445	195.891308
7,5,7,7,7,7,5,6,5	0.047393	193.330847
2,1,0,0,6,6,2,0,4	0.004455	231.210610
6,6,1,0,6,6,6,4,4	0.005818	214.503819
6,6,1,0,6,6,6,4,4	0.005818	214.503819
6,6,1,0,6,6,6,4,4	0.005818	214.503819
6,6,1,0,7,6,6,4,4	0.006815	212.819015
6,6,6,1,7,6,6,4,4	0.008609	210.935857
6,6,6,6,7,7,6,6,4	0.017202	202.764277
6,6,6,6,7,7,6,6,6	0.019580	201.824189
6,6,6,6,7,7,6,6,6	0.019580	201.824189
7,6,6,6,7,7,6,4,5	0.033334	196.222314
7,5,7,7,7,7,6,6,5	0.048424	193.186402
7,6,7,7,7,7,6,6,5	0.052863	192.952876
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,5	0.024852	198.736320
6,6,6,6,7,7,6,6,5	0.027741	196.785606
7,5,7,7,7,7,6,4,5	0.045960	193.666397
7,6,7,7,7,7,5,6,5	0.051648	193.087979
7,6,7,7,7,7,6,6,5	0.052863	192.952876
7,6,7,7,7,7,6,6,5	0.052863	192.952876
7,6,7,7,7,7,6,6,5	0.052863	192.952876
7,7,7,7,7,7,5,6,5	0.057222	192.857874
0,1,0,0,6,6,2,0,4	0.004594	228.583093
6,6,1,4,6,6,6,4,4	0.006560	214.173433
6,6,1,0,7,6,6,4,4	0.006815	212.819015
6,6,4,6,6,6,6,4,4	0.008329	211.572091
7,6,6,6,7,6,6,6,5	0.032045	196.261439
7,5,7,7,7,7,6,6,5	0.048424	193.186402
7,7,7,7,7,7,5,6,5	0.057222	192.857874
6,1,0,0,6,6,6,4,4	0.005370	217.631568
6,6,1,0,6,6,6,4,4	0.005818	214.503819
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,5	0.024852	198.736320
7,6,6,6,3,7,6,6,5	0.034900	195.670301
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,6,6,6,7,7,6,6,5	0.035379	194.999151
