TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
5.46875954e-12,5.46875954e-12,-4.56651198e-03,5.47981437e-03
5.47852516e-12,5.47852516e-12,-4.56480088e-03,5.47776106e-03
5.48829079e-12,5.48829079e-12,-4.56307967e-03,5.47569560e-03
5.49805641e-12,5.49805641e-12,-4.56134840e-03,5.47361807e-03
5.50782204e-12,5.50782204e-12,-4.55960712e-03,5.47152854e-03
5.51758766e-12,5.51758766e-12,-4.55785589e-03,5.46942707e-03
5.52735329e-12,5.52735329e-12,-4.55609478e-03,5.46731374e-03
5.53711891e-12,5.53711891e-12,-4.55432383e-03,5.46518860e-03
5.54688454e-12,5.54688454e-12,-4.55254311e-03,5.46305173e-03
5.55665016e-12,5.55665016e-12,-4.55075266e-03,5.46090319e-03
5.56641579e-12,5.56641579e-12,-4.54895255e-03,5.45874306e-03
5.57618141e-12,5.57618141e-12,-4.54714282e-03,5.45657139e-03
5.58594704e-12,5.58594704e-12,-4.54532354e-03,5.45438825e-03
5.59571266e-12,5.59571266e-12,-4.54349476e-03,5.45219371e-03
5.60547829e-12,5.60547829e-12,-4.54165654e-03,5.44998784e-03
5.61524391e-12,5.61524391e-12,-4.53980892e-03,5.44777070e-03
5.62500954e-12,5.62500954e-12,-4.53795196e-03,5.44554235e-03
5.63477516e-12,5.63477516e-12,-4.53608572e-03,5.44330287e-03
5.64454079e-12,5.64454079e-12,-4.53421025e-03,5.44105230e-03
5.65430641e-12,5.65430641e-12,-4.53232561e-03,5.43879073e-03
5.66407204e-12,5.66407204e-12,-4.53043184e-03,5.43651821e-03
5.67383766e-12,5.67383766e-12,-4.52852900e-03,5.43423480e-03
5.68360329e-12,5.68360329e-12,-4.52661714e-03,5.43194057e-03
5.69336891e-12,5.69336891e-12,-4.52469631e-03,5.42963558e-03
5.70313454e-12,5.70313454e-12,-4.52276657e-03,5.42731989e-03
5.71290016e-12,5.71290016e-12,-4.52082797e-03,5.42499357e-03
5.72266579e-12,5.72266579e-12,-4.51888056e-03,5.42265667e-03
5.73243141e-12,5.73243141e-12,-4.51692439e-03,5.42030927e-03
5.74219704e-12,5.74219704e-12,-4.51495951e-03,5.41795141e-03
5.75196266e-12,5.75196266e-12,-4.51298597e-03,5.41558316e-03
5.76172829e-12,5.76172829e-12,-4.51100382e-03,5.41320458e-03
5.77149391e-12,5.77149391e-12,-4.50901311e-03,5.41081574e-03
5.78125954e-12,5.78125954e-12,-4.50701390e-03,5.40841668e-03
5.79102516e-12,5.79102516e-12,-4.50500622e-03,5.40600747e-03
5.80079079e-12,5.80079079e-12,-4.50299014e-03,5.40358817e-03
5.81055641e-12,5.81055641e-12,-4.50096570e-03,5.40115884e-03
5.82032204e-12,5.82032204e-12,-4.49893294e-03,5.39871953e-03
5.83008766e-12,5.83008766e-12,-4.49689192e-03,5.39627030e-03
5.83985329e-12,5.83985329e-12,-4.49484268e-03,5.39381122e-03
5.84961891e-12,5.84961891e-12,-4.49278528e-03,5.39134233e-03
5.85938454e-12,5.85938454e-12,-4.49071975e-03,5.38886370e-03
5.86915016e-12,5.86915016e-12,-4.48864615e-03,5.38637538e-03
5.87891579e-12,5.87891579e-12,-4.48656452e-03,5.38387742e-03
5.88868141e-12,5.88868141e-12,-4.48447491e-03,5.38136989e-03
5.89844704e-12,5.89844704e-12,-4.48237737e-03,5.37885284e-03
5.90821266e-12,5.90821266e-12,-4.48027194e-03,5.37632632e-03
5.91797829e-12,5.91797829e-12,-4.47815866e-03,5.37379039e-03
5.92774391e-12,5.92774391e-12,-4.47603759e-03,5.37124511e-03
5.93750954e-12,5.93750954e-12,-4.47390877e-03,5.36869052e-03
5.94727516e-12,5.94727516e-12,-4.47177223e-03,5.36612668e-03
