state	MRED	PDP
2,2,5,1,7,2,1,6,4,0,6,6,6,5,5,4,1,7,3,4,6,7,7,3,4,0,3,6,4,6,0,7,5,3,2,2,6,4,3,0,0,6,6,4,7,4,7,0,4	0.000761	1569.674582
5,6,3,4,6,7,5,4,4,5,3,1,4,1,4,5,4,5,7,5,2,2,3,2,1,5,1,0,3,1,4,6,6,2,6,6,1,5,5,6,1,3,0,6,2,1,5,5,0	0.000537	1612.904152
5,0,4,0,4,4,7,5,7,7,6,3,5,2,2,2,2,1,2,0,7,3,4,7,6,6,6,6,2,3,1,4,1,7,0,4,3,0,5,6,4,6,7,6,6,7,7,2,5	0.000804	1554.360907
3,5,7,6,1,2,6,7,6,6,7,0,4,4,6,1,2,6,5,0,2,4,2,5,2,5,5,1,7,3,7,7,6,4,0,0,4,1,4,1,6,0,0,2,5,7,5,7,2	0.000573	1579.452119
3,6,3,7,7,3,6,6,1,6,6,4,2,6,7,0,6,5,4,7,7,7,5,3,1,0,4,5,7,2,0,7,7,6,6,0,5,6,1,2,7,1,4,3,2,4,3,4,3	0.000925	1512.251860
1,6,2,0,0,2,0,2,7,1,0,2,1,4,4,0,3,7,0,2,4,0,0,2,6,2,1,0,1,3,6,7,4,2,4,6,2,5,4,1,5,7,7,3,2,3,3,2,2	0.000328	1640.921754
3,3,5,1,3,0,4,1,0,2,2,1,4,2,4,4,4,7,3,0,4,0,6,5,6,4,1,5,5,5,0,1,0,2,5,4,1,4,2,3,6,3,1,3,6,1,5,0,5	0.000448	1637.169844
0,2,3,6,0,2,7,0,0,3,0,0,5,7,3,3,1,6,4,4,7,5,1,4,6,2,5,6,7,7,0,0,7,1,5,6,7,0,3,2,2,3,2,7,5,6,3,6,1	0.001120	1398.992719
0,5,7,2,7,7,4,7,2,7,6,1,2,1,0,2,6,2,4,5,0,1,0,2,1,3,2,6,1,2,4,2,6,6,4,6,1,0,4,6,0,5,0,3,1,3,0,4,4	0.000469	1635.476643
