Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
29       5.75984189e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.91181027e-01    2.68778552e-01    1.43198104e-09    1.20000000e+00    4.75034468e-01    1.19999999e+00
30       5.76811899e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.92174279e-01    3.58038264e-01    1.43198112e-09    1.20000000e+00    4.47995558e-01    1.19999999e+00
31       5.77639609e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.93167531e-01    4.69509163e-01    1.43198104e-09    1.20000000e+00    4.18920305e-01    1.19999999e+00
32       5.78467319e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.94160783e-01    6.07395223e-01    1.43198112e-09    1.20000000e+00    3.88107083e-01    1.19999999e+00
33       5.79295029e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.95154034e-01    7.76159945e-01    1.43198104e-09    1.20000000e+00    3.55786121e-01    1.19999999e+00
34       5.80122739e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.96147286e-01    9.64633782e-01    1.43198112e-09    1.20000000e+00    3.22137929e-01    1.19999999e+00
35       5.80249742e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.96299690e-01    9.92468604e-01    1.43198111e-09    1.20000000e+00    3.16851915e-01    1.19999999e+00
36       5.80503748e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.96604497e-01    1.04395699e+00    1.43198108e-09    1.20000000e+00    3.06226173e-01    1.19999999e+00
37       5.80757753e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.96909304e-01    1.08655182e+00    1.43198110e-09    1.20000000e+00    2.95494664e-01    1.19999999e+00
38       5.81011759e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.97214111e-01    1.11992099e+00    1.43198107e-09    1.20000000e+00    2.84660607e-01    1.19999999e+00
39       5.81265765e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.97518918e-01    1.14489649e+00    1.43198110e-09    1.20000000e+00    2.73727024e-01    1.19999999e+00
40       5.81519771e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.97823725e-01    1.16290199e+00    1.43198107e-09    1.20000000e+00    2.62696752e-01    1.19999999e+00
41       5.81773777e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.98128532e-01    1.17549175e+00    1.43198110e-09    1.20000000e+00    2.51572462e-01    1.19999999e+00
42       5.82281789e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.98738147e-01    1.19015893e+00    1.43198105e-09    1.20000000e+00    2.29052854e-01    1.19999999e+00
43       5.83297812e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.99957375e-01    1.19948077e+00    1.43198113e-09    1.20000000e+00    1.83201430e-01    1.19999999e+00
44       5.85329860e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.02395832e-01    1.20015495e+00    1.43198102e-09    1.20000000e+00    1.02089982e-01    1.19999999e+00
45       5.87014836e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.04417803e-01    1.19995407e+00    1.43198113e-09    1.20000000e+00    5.60380759e-02    1.19999999e+00
46       5.88699812e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.06439774e-01    1.20001540e+00    1.43198102e-09    1.20000000e+00    2.99741118e-02    1.19999999e+00
47       5.90384788e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.08461745e-01    1.19999450e+00    1.43198113e-09    1.20000000e+00    1.68003625e-02    1.19999999e+00
48       5.92069764e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.10483717e-01    1.20000202e+00    1.43198103e-09    1.20000000e+00    1.04083318e-02    1.19999999e+00
49       5.95439716e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.14527659e-01    1.19999873e+00    1.43198116e-09    1.20000000e+00    5.27597524e-03    1.19999999e+00
50       5.98809668e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.18571602e-01    1.20000080e+00    1.43198101e-09    1.20000000e+00    3.85363971e-03    1.19999999e+00
51       6.05549572e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.26659486e-01    1.19999936e+00    1.43198117e-09    1.20000000e+00    2.47569751e-03    1.19999999e+00
52       6.12289476e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.34747371e-01    1.20000050e+00    1.43198099e-09    1.20000000e+00    1.74903724e-03    1.19999999e+00
53       6.25769284e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.50923141e-01    1.19999955e+00    1.43198118e-09    1.20000000e+00    9.63326825e-04    1.19999999e+00
54       6.52728901e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.83274681e-01    1.20000043e+00    1.43198098e-09    1.20000000e+00    4.00804236e-04    1.19999999e+00
55       7.06648134e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.47977760e-01    1.19999958e+00    1.43198119e-09    1.20000000e+00    1.19588516e-04    1.19999999e+00
56       7.60567366e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.12680840e-01    1.20000040e+00    1.43198097e-09    1.20000000e+00    5.85420155e-05    1.19999999e+00
57       8.68405832e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.04208700e+00    1.19999960e+00    1.43198119e-09    1.20000000e+00    1.86783809e-05    1.19999999e+00
58       9.76244297e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.17149316e+00    1.20000039e+00    1.43198097e-09    1.20000000e+00    1.03246730e-05    1.19999999e+00
59       1.00000000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.19999963e+00    1.43198118e-09    1.20000000e+00    7.95672672e-06    1.19999999e+00
60       1.02156769e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.19999999e+00    1.43198109e-09    1.20000000e+00    7.78422676e-06    1.19999999e+00
61       1.06470308e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.43198108e-09    1.20000000e+00    6.65727274e-06    1.19999999e+00
62       1.15097385e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.43198119e-09    1.20000000e+00    4.89028812e-06    1.19999999e+00
63       1.32351540e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.43198097e-09    1.20000000e+00    2.93484915e-06    1.19999999e+00
64       1.66859849e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.43198119e-09    1.20000000e+00    1.36058934e-06    1.19999999e+00
65       2.35876467e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.43198097e-09    1.20000000e+00    4.90503971e-07    1.19999999e+00
66       3.73909703e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.43198119e-09    1.20000000e+00    1.41597296e-07    1.19999999e+00
67       5.00000000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.43198097e-09    1.20000000e+00    8.99209190e-08    1.19999999e+00
68       5.04000000e-08    0.00000000e+00    0.00000000e+00    3.00000000e-02    1.20000000e+00    1.20000000e+00    1.43198108e-09    1.20000000e+00    7.93162284e-09    1.19999999e+00
69       5.06936412e-08    0.00000000e+00    0.00000000e+00    5.20230888e-02    1.20000000e+00    1.20000000e+00    1.43198109e-09    1.20000000e+00    5.80877596e-09    1.19999999e+00
70       5.12809236e-08    0.00000000e+00    0.00000000e+00    9.60692663e-02    1.20000000e+00    1.20000000e+00    1.43198119e-09    1.20000000e+00    5.65303187e-09    1.19999999e+00
71       5.24554883e-08    0.00000000e+00    0.00000000e+00    1.84161621e-01    1.20000000e+00    1.20000000e+00    1.43198097e-09    1.20000000e+00    5.80000084e-09    1.19999999e+00
72       5.48046178e-08    0.00000000e+00    0.00000000e+00    3.60346331e-01    1.20000000e+00    1.20000000e+00    1.43198120e-09    1.19999999e+00    5.65721548e-09    1.19999999e+00
73       5.59791825e-08    0.00000000e+00    0.00000000e+00    4.48438686e-01    1.20000000e+00    1.20000000e+00    1.43198109e-09    1.19999999e+00    5.72725338e-09    1.19999999e+00
74       5.65664649e-08    0.00000000e+00    0.00000000e+00    4.92484864e-01    1.20000000e+00    1.20000000e+00    1.43198110e-09    1.19999999e+00    5.72791168e-09    1.19999999e+00
75       5.72895141e-08    0.00000000e+00    0.00000000e+00    5.46713561e-01    1.20000000e+00    1.20000000e+00    1.44467543e-09    1.19381250e+00    5.57421016e-09    1.19999999e+00
