Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)      
37       1.65408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.98490483e-01   -3.41288440e-07    4.00311527e-10    1.20000003e+00    1.20000003e+00
38       1.70408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.04490483e-01    2.96370721e-07    4.00311527e-10    1.19999997e+00    1.19999997e+00
39       1.75408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.10490483e-01   -2.51800710e-07    4.00311527e-10    1.20000002e+00    1.20000002e+00
40       1.80408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.16490483e-01    2.19441412e-07    4.00311527e-10    1.19999998e+00    1.19999998e+00
41       1.85408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.22490483e-01   -1.85667581e-07    4.00311527e-10    1.20000002e+00    1.20000001e+00
42       1.90408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.28490483e-01    1.62589215e-07    4.00311527e-10    1.19999998e+00    1.19999998e+00
43       1.95408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.34490483e-01   -1.36793948e-07    4.00311527e-10    1.20000001e+00    1.20000001e+00
44       2.00408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.40490483e-01    1.20574378e-07    4.00311527e-10    1.19999999e+00    1.19999999e+00
45       2.05408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.46490483e-01   -1.00675410e-07    4.00311527e-10    1.20000001e+00    1.20000001e+00
46       2.10408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.52490483e-01    8.95246248e-08    4.00311527e-10    1.19999999e+00    1.19999999e+00
47       2.15408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.58490483e-01   -7.39831292e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
48       2.20408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.64490483e-01    6.65782750e-08    4.00311527e-10    1.19999999e+00    1.19999999e+00
49       2.25408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.70490483e-01   -5.42570304e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
50       2.30408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.76490483e-01    4.96204918e-08    4.00311527e-10    1.20000000e+00    1.19999999e+00
51       2.35408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.82490483e-01   -3.96790716e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
52       2.40408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.88490483e-01    3.70883714e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
53       2.45408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.94490483e-01   -2.89056855e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
54       2.50408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.00490483e-01    2.78268989e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
55       2.55408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.06490483e-01   -2.09439504e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
56       2.60408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.12490483e-01    2.09824967e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
57       2.65408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.18490483e-01   -1.50600743e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
58       2.70408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.24490483e-01    1.59243363e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
59       2.75408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.30490483e-01   -1.07117791e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
60       2.80408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.36490483e-01    1.21862799e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
61       2.85408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.42490483e-01   -7.49831032e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
62       2.90408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.48490483e-01    9.42378579e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
63       2.95408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.54490483e-01   -5.12349678e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
64       3.00408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.60490483e-01    7.38225045e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
65       3.05408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.66490483e-01   -3.36846511e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
66       3.10408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.72490483e-01    5.87351724e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
67       3.15408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.78490483e-01   -2.07146385e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
68       3.20408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.84490483e-01    4.75853489e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
69       3.25408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.90490483e-01   -1.11295556e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
70       3.30408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.96490483e-01    3.93454203e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
71       3.35408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.02490483e-01   -4.04599947e-10    4.00311527e-10    1.20000000e+00    1.20000000e+00
72       3.40408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.08490483e-01    3.32559588e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
73       3.45408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.14490483e-01    1.18888074e-10    4.00311527e-10    1.20000000e+00    1.20000000e+00
74       3.50408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.20490483e-01    2.87557303e-09    4.00311527e-10    1.20000000e+00    1.20000000e+00
75       3.55408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.26490483e-01    5.05755691e-10    4.00311527e-10    1.20000000e+00    1.20000000e+00
