Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)              V(C)       
42       2.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899699e-09    0.00000000e+00
43       2.11000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899736e-09    0.00000000e+00
44       2.16000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899707e-09    0.00000000e+00
45       2.21000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899722e-09    0.00000000e+00
46       2.26000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
47       2.31000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
48       2.36000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
49       2.41000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899724e-09    0.00000000e+00
50       2.46000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
51       2.51000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
52       2.56000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
53       2.61000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
54       2.66000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
55       2.71000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
56       2.76000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
57       2.81000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
58       2.86000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
59       2.91000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
60       2.96000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
61       3.01000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
62       3.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
63       3.11000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
64       3.16000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
65       3.21000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
66       3.26000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
67       3.31000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
68       3.36000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
69       3.41000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
70       3.46000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
71       3.51000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
72       3.56000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
73       3.61000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
74       3.66000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
75       3.71000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
76       3.76000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
77       3.81000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
78       3.86000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
79       3.91000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
80       3.96000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
81       4.01000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
82       4.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
83       4.11000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
84       4.16000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
85       4.21000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
86       4.26000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
87       4.31000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
88       4.36000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
89       4.41000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
90       4.46000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
91       4.51000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
92       4.56000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
93       4.61000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
94       4.66000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
95       4.71000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
96       4.76000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
97       4.81000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
98       4.86000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
99       4.91000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
100      4.96000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
101      5.01000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
102      5.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
103      5.11000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
104      5.16000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
105      5.21000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
106      5.26000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
107      5.31000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
108      5.36000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
109      5.41000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
110      5.46000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
111      5.51000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
112      5.56000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
113      5.61000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
114      5.66000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
115      5.71000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
116      5.76000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
117      5.81000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
118      5.86000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
119      5.91000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
120      5.96000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
121      6.01000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
122      6.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
123      6.11000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
124      6.16000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
125      6.21000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
126      6.26000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
