state	MRED	PDP
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
7,7,7,7,7,7,6,6,5	0.058783	192.744604
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,5,6,6,7,7,6,6,6	0.021726	201.149699
6,5,6,6,7,7,6,6,6	0.021726	201.149699
6,6,1,6,7,7,6,6,5	0.024248	199.393327
6,6,1,6,7,7,6,6,5	0.024248	199.393327
1,6,6,6,7,7,6,6,5	0.026207	198.552277
1,6,6,6,7,7,6,6,5	0.026207	198.552277
4,6,6,6,7,7,6,6,5	0.026722	198.311285
7,6,6,6,7,6,6,6,5	0.032045	196.261440
6,5,7,7,7,7,6,4,5	0.042107	194.605400
6,5,6,6,7,7,6,6,6	0.021726	201.149699
6,5,6,6,7,7,6,6,6	0.021726	201.149699
6,6,1,6,7,7,6,6,5	0.024248	199.393327
6,6,6,6,7,6,6,6,5	0.024852	198.736323
6,6,6,6,7,7,6,4,5	0.025258	198.599629
7,6,6,6,6,7,6,6,5	0.034445	195.891308
6,6,6,6,6,6,6,4,0	0.008787	209.560261
6,6,1,6,7,7,6,6,5	0.024248	199.393327
6,6,1,6,7,7,6,6,5	0.024248	199.393327
4,6,6,6,7,7,6,6,5	0.026722	198.311285
6,6,6,6,3,7,6,6,5	0.027301	197.797062
6,6,6,6,7,7,6,6,5	0.027741	196.785606
7,5,7,7,7,7,6,6,5	0.048424	193.186402
6,6,6,6,6,6,6,4,4	0.008787	209.260359
6,6,6,6,7,7,6,4,5	0.025258	198.599629
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,6,6,6,7,7,6,6,5	0.027741	196.785606
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,5,7,7,7,7,5,6,5	0.047393	193.330847
1,6,6,6,7,7,6,6,5	0.026207	198.552277
6,6,6,6,3,7,6,6,5	0.027301	197.797062
6,6,6,6,7,7,6,6,5	0.027741	196.785606
7,6,6,6,3,7,6,6,5	0.034900	195.670302
7,5,7,7,7,7,5,6,5	0.047393	193.330847
6,6,6,6,6,6,6,4,4	0.008787	209.260359
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,6,4,6,6,6,6,4,4	0.008329	211.572091
6,6,4,6,6,6,6,4,4	0.008329	211.572091
6,6,1,6,7,6,6,4,4	0.008615	210.573792
6,6,6,6,7,6,6,6,5	0.024852	198.736323
7,6,6,6,3,7,6,6,5	0.034900	195.670302
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,6,7,7,7,7,6,6,5	0.052863	192.952876
6,6,1,6,6,6,6,4,4	0.007442	212.435336
6,6,6,6,7,6,6,4,2	0.010569	207.228034
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,6,7,7,7,7,5,6,5	0.051648	193.087978
7,7,7,7,7,7,5,6,5	0.057222	192.857874
6,6,1,0,7,6,6,4,4	0.006815	212.819015
6,6,1,0,7,6,6,4,4	0.006815	212.819015
6,6,6,6,7,6,6,6,5	0.024852	198.736323
6,6,1,0,6,6,6,4,4	0.005818	214.503820
6,6,1,0,6,6,6,4,4	0.005818	214.503820
6,6,4,0,7,6,6,4,4	0.007685	212.166392
6,6,4,0,7,6,6,4,4	0.007685	212.166392
6,6,1,0,7,6,6,4,4	0.006815	212.819015
6,6,4,1,7,6,6,4,4	0.007598	212.237929
6,6,4,0,7,6,6,4,4	0.007685	212.166392
6,6,6,4,6,6,6,4,4	0.008088	212.153535
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
5,5,7,7,7,7,6,6,5	0.044537	194.059436
6,6,1,0,6,6,6,4,4	0.005818	214.503820
6,6,1,0,6,6,6,4,4	0.005818	214.503820
6,6,1,0,3,6,6,4,4	0.006695	213.888602
6,6,1,0,7,6,6,4,4	0.006815	212.819015
6,6,6,6,7,6,6,4,6	0.011210	206.225355
6,6,6,6,7,6,6,4,6	0.011210	206.225355
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,6,6,5	0.048424	193.186402
6,6,1,0,6,6,6,4,4	0.005818	214.503820
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,1,0,0,6,6,6,0,4	0.005177	219.573787
6,4,1,0,6,6,6,4,4	0.005653	216.852030
6,6,6,6,7,6,6,6,4	0.012867	205.270402
