state	MRED	PDP
7,7,7,7,7,7,6,5,5	0.060254	192.719635
7,7,7,7,7,7,6,5,5	0.060254	192.719635
7,7,7,7,7,7,6,5,5	0.060254	192.719635
7,7,7,7,7,7,6,5,5	0.060254	192.719635
7,7,7,7,7,7,6,5,5	0.060254	192.719635
7,7,7,7,7,7,6,5,5	0.060254	192.719635
7,7,7,7,7,7,6,5,5	0.060254	192.719635
7,7,7,7,7,7,6,6,5	0.058783	192.744604
7,7,7,7,7,7,5,6,5	0.057222	192.857874
7,7,7,7,7,7,5,6,5	0.057222	192.857874
7,7,7,7,7,7,5,6,5	0.057222	192.857874
7,7,7,7,7,7,6,3,5	0.055796	192.952344
7,7,7,7,7,7,6,3,5	0.055796	192.952344
7,7,7,7,7,7,6,3,5	0.055796	192.952344
7,6,7,7,7,7,6,6,5	0.052863	192.952876
7,6,7,7,7,7,6,6,5	0.052863	192.952876
7,6,7,7,7,7,6,6,5	0.052863	192.952876
7,6,7,7,7,7,5,6,5	0.051648	193.087978
7,6,7,7,7,7,5,6,5	0.051648	193.087978
7,6,7,7,7,7,5,6,5	0.051648	193.087978
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,5,5	0.049232	193.174797
7,5,7,7,7,7,6,6,5	0.048424	193.186402
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,5,5	0.048171	193.315748
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,5,6,5	0.047393	193.330847
7,5,7,7,7,7,6,4,5	0.045960	193.666397
7,5,7,7,7,7,6,4,5	0.045960	193.666397
7,5,7,7,7,7,6,4,5	0.045960	193.666397
7,5,7,7,7,7,5,4,5	0.045431	193.972249
7,5,7,7,7,7,5,4,5	0.045431	193.972249
7,5,7,7,7,7,5,4,5	0.045431	193.972249
7,5,7,7,7,7,5,4,5	0.045431	193.972249
6,5,7,7,7,7,6,6,5	0.045006	194.001116
6,5,7,7,7,7,6,6,5	0.045006	194.001116
6,5,7,7,7,7,6,6,5	0.045006	194.001116
6,5,7,7,7,7,5,6,5	0.044840	194.161373
6,6,7,7,7,7,6,4,5	0.044523	194.251166
7,5,7,7,7,6,6,4,5	0.044241	194.282786
7,5,7,7,7,6,6,4,5	0.044241	194.282786
7,5,7,7,7,5,6,4,5	0.043828	194.368014
7,5,7,7,7,5,6,4,5	0.043828	194.368014
6,5,7,7,7,7,6,4,5	0.042107	194.605400
6,5,7,7,7,7,6,4,5	0.042107	194.605400
6,5,7,7,7,7,6,4,5	0.042107	194.605400
7,6,6,6,7,7,6,5,5	0.038897	194.977549
7,6,6,6,7,7,6,6,5	0.035379	194.999151
7,6,6,6,7,7,6,4,5	0.033334	196.222313
7,6,6,6,7,7,6,4,5	0.033334	196.222313
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,6,6,6,7,7,6,6,5	0.027741	196.785606
6,4,6,6,7,7,6,6,5	0.027168	198.117695
6,6,6,6,6,7,6,6,5	0.026890	198.203993
6,6,6,6,6,7,6,6,5	0.026890	198.203993
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,6	0.026391	198.627966
7,6,6,6,7,7,6,6,4	0.025275	199.272174
7,6,6,6,7,7,6,6,4	0.025275	199.272174
7,6,6,6,7,7,6,6,4	0.025275	199.272174
7,6,6,6,7,7,6,6,4	0.025275	199.272174
7,6,6,6,7,7,6,6,4	0.025275	199.272174
6,4,6,6,7,6,6,6,5	0.024317	200.456807
6,6,6,6,6,6,6,6,5	0.023764	200.643485
5,6,6,6,7,7,6,5,6	0.023560	200.884298
5,6,6,6,7,7,6,5,6	0.023560	200.884298
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
7,6,6,6,7,6,6,6,6	0.023462	201.049160
6,5,6,6,7,7,6,6,6	0.021726	201.149699
6,5,6,6,7,7,6,6,6	0.021726	201.149699
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,6	0.019580	201.824191
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,6,4	0.017202	202.764279
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,7,6,4,6	0.016019	203.919078
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,6	0.014739	204.038318
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,6,7,6,6,4,6	0.011210	206.225355
6,6,6,6,7,6,6,4,6	0.011210	206.225355
6,6,6,6,7,6,6,4,6	0.011210	206.225355
6,6,6,6,7,6,6,4,6	0.011210	206.225355
6,6,6,6,7,6,6,4,6	0.011210	206.225355
6,6,6,6,7,6,6,4,6	0.011210	206.225355
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,7,6,6,4,4	0.010179	207.284492
6,6,6,6,6,6,6,4,6	0.009862	208.215978
6,6,6,6,6,6,6,4,6	0.009862	208.215978
6,6,6,6,6,6,6,4,6	0.009862	208.215978
6,6,6,6,6,6,6,4,6	0.009862	208.215978
6,6,6,6,6,6,6,4,6	0.009862	208.215978
