TIME,V(_00_),V(_01_),V(_02_),V(_03_),V(_04_)
5.24415016e-12,3.49042665e-09,1.74521332e-09,3.49042665e-09,4.85660742e-01,1.04342793e-01
5.25391579e-12,3.49692650e-09,1.74846325e-09,3.49692650e-09,4.86565137e-01,1.04598678e-01
5.26368141e-12,3.50342635e-09,1.75171318e-09,3.50342635e-09,4.87469531e-01,1.04857086e-01
5.27344704e-12,3.50992620e-09,1.75496310e-09,3.50992620e-09,4.88373926e-01,1.05118018e-01
5.28321266e-12,3.51642605e-09,1.75821303e-09,3.51642605e-09,4.89278321e-01,1.05381477e-01
5.29297829e-12,3.52292591e-09,1.76146295e-09,3.52292591e-09,4.90182715e-01,1.05647466e-01
5.30274391e-12,3.52942576e-09,1.76471288e-09,3.52942576e-09,4.91087110e-01,1.05915986e-01
5.31250954e-12,3.53592561e-09,1.76796280e-09,3.53592561e-09,4.91991504e-01,1.06187040e-01
5.32227516e-12,3.54242546e-09,1.77121273e-09,3.54242546e-09,4.92895899e-01,1.06460628e-01
5.33204079e-12,3.54892531e-09,1.77446266e-09,3.54892531e-09,4.93800293e-01,1.06736752e-01
5.34180641e-12,3.55542516e-09,1.77771258e-09,3.55542516e-09,4.94704688e-01,1.07015415e-01
5.35157204e-12,3.56192501e-09,1.78096251e-09,3.56192501e-09,4.95609082e-01,1.07296616e-01
5.36133766e-12,3.56842487e-09,1.78421243e-09,3.56842487e-09,4.96513477e-01,1.07580358e-01
5.37110329e-12,3.57492472e-09,1.78746236e-09,3.57492472e-09,4.97417871e-01,1.07866641e-01
5.38086891e-12,3.58142457e-09,1.79071228e-09,3.58142457e-09,4.98322266e-01,1.08155466e-01
5.39063454e-12,3.58792442e-09,1.79396221e-09,3.58792442e-09,4.99226660e-01,1.08446834e-01
5.40040016e-12,3.59442427e-09,1.79721214e-09,3.62612804e-09,5.00131055e-01,1.08740745e-01
5.41016579e-12,3.60092412e-09,1.80046206e-09,5.64322930e-09,5.01035448e-01,1.09037200e-01
5.41993141e-12,3.60742398e-09,1.80371199e-09,1.45739654e-08,5.01939838e-01,1.09336199e-01
5.42969704e-12,3.61392383e-09,1.80696191e-09,3.64566976e-08,5.02844222e-01,1.09637742e-01
5.43946266e-12,3.62042368e-09,1.81021184e-09,7.73294417e-08,5.03748596e-01,1.09941829e-01
5.44922829e-12,3.62692353e-09,1.81346177e-09,1.43229706e-07,5.04652957e-01,1.10248460e-01
5.45899391e-12,3.63342338e-09,1.81671169e-09,2.40194330e-07,5.05557303e-01,1.10557634e-01
5.46875954e-12,3.63992323e-09,1.81996162e-09,3.74259326e-07,5.06461629e-01,1.10869352e-01
5.47852516e-12,3.64642309e-09,1.82321154e-09,5.51459711e-07,5.07365934e-01,1.11183613e-01
5.48829079e-12,3.65292294e-09,1.82646147e-09,7.77829355e-07,5.08270214e-01,1.11500416e-01
5.49805641e-12,3.65942279e-09,1.82971139e-09,1.05940081e-06,5.09174465e-01,1.11819760e-01
5.50782204e-12,3.66592264e-09,1.83296132e-09,1.40220517e-06,5.10078685e-01,1.12141644e-01
5.51758766e-12,3.67242249e-09,1.83621125e-09,1.81227186e-06,5.10982871e-01,1.12466068e-01
5.52735329e-12,3.67892234e-09,1.83946117e-09,2.29562855e-06,5.11887018e-01,1.12793029e-01
5.53711891e-12,3.68542219e-09,1.84271110e-09,2.85830093e-06,5.12791125e-01,1.13122528e-01
5.54688454e-12,3.69192205e-09,1.84596102e-09,3.50631258e-06,5.13695187e-01,1.13454562e-01
5.55665016e-12,3.69842190e-09,1.84921095e-09,4.24568480e-06,5.14599202e-01,1.13789130e-01
5.56641579e-12,3.70492175e-09,1.85246087e-09,5.08243646e-06,5.15503166e-01,1.14126230e-01
5.57618141e-12,3.71142160e-09,1.85571080e-09,6.02258383e-06,5.16407077e-01,1.14465860e-01
5.58594704e-12,3.71792145e-09,1.85896073e-09,7.07214041e-06,5.17310930e-01,1.14808019e-01
5.59571266e-12,3.72442130e-09,1.86221065e-09,8.23711679e-06,5.18214722e-01,1.15152704e-01
5.60547829e-12,3.73092116e-09,1.86546058e-09,9.52352050e-06,5.19118451e-01,1.15499914e-01
5.61524391e-12,3.73742101e-09,1.86871050e-09,1.09373558e-05,5.20022112e-01,1.15849645e-01
5.62500954e-12,3.74392086e-09,1.87196043e-09,1.24846236e-05,5.20925703e-01,1.16201896e-01
5.63477516e-12,3.75042071e-09,1.87521036e-09,1.41713212e-05,5.21829221e-01,1.16556665e-01
5.64454079e-12,3.75692056e-09,1.87846028e-09,1.60034423e-05,5.22732661e-01,1.16913948e-01
5.65430641e-12,3.76342041e-09,1.88171021e-09,1.79869765e-05,5.23636021e-01,1.17273743e-01
5.66407204e-12,3.76992027e-09,1.88496013e-09,2.01279097e-05,5.24539296e-01,1.17636047e-01
5.67383766e-12,3.77642012e-09,1.88821006e-09,2.24322232e-05,5.25442485e-01,1.18000857e-01
5.68360329e-12,3.78291997e-09,1.89145998e-09,2.49058943e-05,5.26345582e-01,1.18368170e-01
5.69336891e-12,3.78941982e-09,1.89470991e-09,2.75548957e-05,5.27248586e-01,1.18737983e-01
5.70313454e-12,3.79591967e-09,1.89795984e-09,3.03851953e-05,5.28151492e-01,1.19110293e-01
5.71290016e-12,3.80241952e-09,1.90120976e-09,3.34027564e-05,5.29054297e-01,1.19485096e-01
5.72266579e-12,3.80891937e-09,1.90445969e-09,3.66135371e-05,5.29956998e-01,1.19862389e-01
5.73243141e-12,3.81541923e-09,1.90770961e-09,4.00234906e-05,5.30859591e-01,1.20242169e-01
5.74219704e-12,3.82191908e-09,1.91095954e-09,4.36385645e-05,5.31762072e-01,1.20624432e-01
5.75196266e-12,3.82841893e-09,1.91420946e-09,4.74647014e-05,5.32664439e-01,1.21009173e-01
5.76172829e-12,3.83491878e-09,1.91745939e-09,5.15078378e-05,5.33566687e-01,1.21396390e-01
5.77149391e-12,3.84141863e-09,1.92070932e-09,5.57739048e-05,5.34468813e-01,1.21786078e-01
