state	MRED	PDP
6,0,7,3,1,6,3,6,6	0.120193	213.169597
1,5,0,7,6,0,5,3,3	0.077879	213.494188
0,2,5,4,5,1,6,6,6	0.018462	222.487254
0,5,7,0,7,0,5,3,3	0.080122	211.662316
1,2,5,5,6,1,6,1,7	0.064327	220.219957
1,5,3,7,4,0,7,4,5	0.041778	206.402396
4,3,0,5,6,4,4,1,3	0.078748	221.525148
7,3,2,1,5,2,7,1,4	0.043419	222.022354
1,7,0,0,3,6,6,0,3	0.075807	214.115472
1,2,7,1,7,2,6,6,6	0.061457	218.790034
