state	MRED	PDP
6,7,7,5,1,1,4,7,4,6,6,2,6,4,1,6,3,7,7,7,6,7,7,7,5,1,0,3,7,5,7,5,5,7,6,4,7,7,2,5,4,7,5,4,7,3,6,6,0	0.000214	1296.183829
6,7,7,5,1,1,4,7,4,6,6,2,6,4,1,6,3,7,7,7,6,7,7,7,5,1,0,3,7,5,7,5,5,7,6,4,7,7,2,5,4,7,5,4,7,3,6,6,0	0.000214	1296.183829
7,7,3,7,7,4,4,7,7,3,6,2,5,6,2,6,7,7,7,7,6,7,7,7,5,4,0,7,7,7,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000392	1259.262749
6,7,7,5,1,1,4,7,4,6,6,0,6,4,1,6,3,7,7,7,6,7,7,7,5,1,0,3,7,5,7,5,5,7,6,4,7,7,2,5,4,7,5,4,7,3,6,6,0	0.000214	1296.741634
7,7,7,5,4,1,2,7,5,6,6,2,6,4,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,4,5,7,6,4,7,7,5,7,5,4,5,4,7,7,5,6,0	0.000251	1286.520116
7,7,3,7,7,4,2,7,7,6,6,2,5,6,2,6,7,7,7,7,6,7,7,7,5,4,0,7,7,5,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000362	1262.719392
7,7,7,3,5,7,4,7,7,3,6,3,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,7,7,7,7,7,5,4,5,4,7,1,4,7,7	0.001463	1220.178238
6,7,7,5,1,1,2,7,4,6,6,0,6,4,2,2,3,7,7,7,6,7,7,5,5,1,0,3,7,5,7,5,7,7,6,0,3,5,2,4,4,7,5,4,7,5,6,6,0	0.000192	1316.958129
7,3,7,5,4,1,2,7,5,6,6,2,6,4,1,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,4,5,7,6,4,7,7,5,5,6,4,5,4,7,7,5,6,0	0.000244	1288.895656
7,7,7,5,4,4,2,7,7,6,6,2,6,6,1,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,5,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000295	1273.606839
6,7,7,5,1,1,2,7,4,6,6,0,6,4,2,2,3,7,3,7,6,7,7,7,5,1,0,3,7,5,7,5,5,7,6,4,7,7,2,5,4,7,5,4,7,3,6,6,0	0.000202	1305.631870
7,3,7,5,4,1,2,7,5,6,6,2,6,4,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,4,5,7,6,4,7,7,5,5,6,4,5,4,7,7,5,6,0	0.000242	1289.416705
6,7,7,5,1,1,2,7,4,6,6,0,6,4,2,2,3,7,7,7,6,7,7,5,5,1,0,3,7,5,7,0,7,7,6,0,3,7,2,4,4,7,5,4,7,5,6,6,0	0.000190	1319.525209
7,3,7,5,4,1,2,7,5,6,6,2,6,4,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,4,5,7,6,4,7,7,5,5,6,4,5,4,7,7,5,6,0	0.000242	1289.416705
7,7,7,5,4,2,2,7,7,6,6,2,6,6,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,4,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000281	1277.187740
6,7,7,5,1,1,2,7,4,6,6,0,6,4,2,2,3,7,3,7,6,7,7,7,5,1,0,3,7,5,7,5,5,7,6,4,7,7,2,5,4,7,5,4,7,3,6,6,0	0.000202	1305.631870
7,7,7,5,4,2,2,7,7,6,6,0,6,6,0,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,4,6,6,6,7,7,7,5,5,4,5,4,7,7,7,6,0	0.000277	1278.737578
7,7,7,5,4,2,2,7,7,6,6,2,6,6,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,4,6,6,6,7,7,7,5,5,4,5,4,7,7,7,6,0	0.000278	1278.382723
7,7,7,5,4,2,2,7,7,6,6,2,6,6,0,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,4,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000282	1277.091876
7,7,7,5,5,4,2,7,7,6,6,2,6,6,0,6,7,7,7,7,6,7,7,7,5,4,0,7,7,5,7,3,5,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000302	1272.879217
7,7,3,7,5,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,5,5,7,7,7,7,6,7,7,3,7,3,7,7,5,6,7,7,5,5,2,6,7,7,7,7,7,7,6	0.000693	1227.842293
7,7,3,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,5,6,7,7,7,7,5,4,5,4,7,7,4,7,7	0.000801	1225.557292
6,7,7,5,1,1,2,7,4,6,6,0,6,4,2,2,3,7,7,7,6,7,7,5,5,1,0,3,7,5,7,5,7,7,6,0,3,7,2,4,4,7,5,4,7,5,6,6,0	0.000194	1314.264733
7,7,7,5,4,2,2,7,7,6,6,0,6,6,0,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,4,6,6,6,7,7,7,5,5,4,5,4,7,7,7,6,0	0.000277	1278.737578
7,7,7,5,4,2,2,7,7,6,6,2,6,6,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,4,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000281	1277.187740
7,7,7,5,4,2,2,7,7,6,6,2,6,6,0,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,4,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000282	1277.091876
7,7,7,5,4,4,2,7,7,6,6,2,6,6,1,6,7,7,7,7,6,7,7,7,7,4,0,7,7,5,7,3,5,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000316	1269.941781
7,7,7,5,4,2,2,7,7,6,6,2,6,6,2,1,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,4,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000277	1279.597513
7,7,7,5,4,2,2,7,7,6,6,2,6,6,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,3,5,6,6,6,7,7,7,7,5,4,5,4,7,7,7,6,0	0.000287	1275.507673
7,7,3,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,3,5,7,7,7,7,6,7,7,7,7,3,7,7,5,6,7,7,7,7,5,4,5,4,7,7,4,7,7	0.000778	1226.303603
7,7,7,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,7,7,7,7,7,5,4,5,4,7,1,4,7,7	0.001066	1221.716327
7,7,3,7,5,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,5,5,7,7,7,7,6,7,7,3,7,3,7,7,5,6,7,7,5,5,2,6,7,7,7,7,7,7,6	0.000693	1227.842293
7,7,3,3,7,7,4,7,7,3,6,2,5,6,6,6,7,7,7,7,3,5,7,7,7,7,6,7,7,7,7,3,7,7,5,6,7,7,7,7,5,4,5,4,7,7,7,7,7	0.000753	1227.415346
6,7,7,5,1,1,2,7,4,6,6,0,6,4,2,2,3,7,7,7,6,7,7,5,5,1,0,3,7,5,7,0,7,7,6,0,3,7,2,4,4,7,5,4,7,5,6,6,0	0.000190	1319.525209
7,7,7,5,4,2,2,7,5,6,6,2,6,4,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,4,5,7,6,4,7,7,5,5,5,4,5,4,7,7,5,6,0	0.000249	1287.058046
7,7,7,5,4,2,2,7,5,6,6,2,6,4,2,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,4,5,7,6,4,7,7,5,7,5,4,5,4,7,7,5,6,0	0.000252	1286.339846
