state	MRED	PDP
7,6,7,7,7,4,2,7,7,7,6,1,7,5,0,0,7,7,5,6,6,7,7,5,5,6,0,7,7,7,7,6,5,6,6,1,5,6,7,7,6,6,6,7,7,7,5,5,6	0.000489	1290.739859
7,5,7,7,7,4,0,7,7,3,5,1,6,5,2,0,6,7,7,4,7,7,7,7,6,7,1,7,7,7,6,7,6,6,7,1,7,7,4,7,4,6,6,7,7,7,5,6,0	0.000471	1291.873238
7,6,7,7,7,5,0,6,6,6,4,0,7,6,1,1,5,7,7,7,6,6,6,7,6,6,0,7,6,7,7,7,7,7,6,0,7,7,3,6,3,7,7,7,7,7,5,5,2	0.000416	1296.196745
7,7,6,3,6,4,1,7,6,4,6,0,5,5,0,0,6,7,7,6,5,5,7,6,6,6,0,7,7,7,7,7,6,6,7,1,7,7,7,7,7,6,6,7,7,7,7,6,1	0.000412	1301.977946
5,6,7,5,4,6,1,6,7,7,5,1,6,6,2,0,7,7,6,7,7,7,6,7,7,6,2,7,7,7,6,7,7,6,6,2,7,6,6,7,6,7,4,7,7,7,5,6,1	0.000387	1303.020992
4,6,7,6,5,5,0,5,7,6,6,0,4,6,2,1,7,7,7,5,7,4,7,7,6,6,0,7,7,5,7,7,7,6,2,0,7,7,6,7,4,7,7,3,7,7,5,6,1	0.000370	1310.559175
6,7,5,6,4,4,0,7,5,5,4,1,2,2,1,1,5,6,7,7,6,5,7,7,5,6,0,7,4,6,7,7,7,5,4,0,5,5,7,5,4,7,7,7,7,7,5,6,1	0.000357	1315.503834
7,7,6,4,7,4,0,6,6,6,6,0,6,4,1,0,6,7,7,5,7,5,7,6,5,7,2,6,7,7,7,7,5,5,6,0,6,7,5,5,5,5,4,7,7,5,4,6,1	0.000336	1316.268982
7,7,7,4,4,0,1,6,7,5,5,0,6,0,1,0,7,7,6,7,6,3,7,7,6,5,2,7,6,6,7,7,5,6,6,2,7,7,5,3,6,7,7,7,4,7,6,5,1	0.000326	1319.001973
5,4,7,6,5,2,2,7,5,1,5,0,6,1,0,1,7,7,6,7,6,7,7,6,7,4,1,7,5,6,7,6,5,7,6,2,4,7,5,3,6,7,3,7,7,7,5,5,0	0.000318	1327.304460
4,6,7,6,6,1,0,7,4,2,6,0,5,0,2,1,6,7,5,4,5,5,7,7,6,5,0,5,6,7,5,7,7,7,4,2,5,7,6,4,7,7,6,7,4,7,5,4,1	0.000309	1333.563251
3,6,7,7,7,2,1,7,4,5,5,0,2,2,0,0,7,7,7,7,4,7,5,6,6,5,0,7,6,5,7,5,4,5,6,1,5,7,5,5,3,5,6,4,7,6,6,4,0	0.000306	1336.197776
7,4,6,6,6,0,1,7,5,5,6,0,4,2,2,0,7,7,3,4,5,5,7,5,7,4,1,6,5,5,5,7,7,7,4,1,6,7,3,7,7,7,5,3,7,7,5,2,0	0.000306	1339.500249
6,5,5,5,4,2,0,7,7,6,6,0,5,4,0,1,6,7,7,7,6,6,7,7,4,0,1,6,6,6,7,7,6,5,6,2,5,6,6,4,7,4,7,6,4,7,5,6,0	0.000268	1341.892235
7,6,7,5,6,1,2,7,7,2,6,0,4,0,0,1,6,6,6,6,4,7,7,7,7,2,2,7,6,7,3,7,4,7,6,0,7,4,3,6,4,6,5,3,3,7,5,6,0	0.000268	1349.747658
7,6,5,4,6,0,0,6,2,2,6,1,2,0,0,1,5,7,4,3,4,5,7,7,6,1,0,6,7,6,5,7,4,7,4,0,7,6,5,7,4,7,3,3,1,7,6,6,0	0.000251	1370.327966
4,5,7,6,6,1,1,6,4,0,6,0,2,1,0,0,6,7,7,6,3,3,7,5,6,1,2,7,5,5,5,7,4,4,5,4,6,3,4,3,6,7,4,3,2,7,4,4,0	0.000243	1405.431129
3,3,2,1,5,0,2,6,4,1,4,1,0,1,0,1,7,7,4,6,6,5,7,2,5,0,0,5,5,5,4,7,6,4,6,1,5,1,3,1,2,0,4,4,0,7,6,6,1	0.000240	1433.079307
5,5,5,6,5,1,0,7,4,1,1,0,0,1,0,0,7,2,5,3,5,3,7,7,5,1,0,5,5,4,5,7,4,2,4,0,2,5,4,0,4,7,6,3,4,5,5,0,0	0.000233	1583.488003
