Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
42       5.15625954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.71596400e-09    4.14875928e-01
43       5.16602516e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.71921392e-09    4.15657843e-01
44       5.17579079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.72246385e-09    4.16439500e-01
45       5.18555641e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.72571377e-09    4.17220895e-01
46       5.19532204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.72896370e-09    4.18002026e-01
47       5.20508766e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.73221363e-09    4.18782891e-01
48       5.21485329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.73546355e-09    4.19563486e-01
49       5.22461891e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.73871348e-09    4.20343809e-01
50       5.23438454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.74196340e-09    4.21123857e-01
51       5.24415016e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.74521333e-09    4.21903629e-01
52       5.25391579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.74846325e-09    4.22683120e-01
53       5.26368141e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.75171318e-09    4.23462329e-01
54       5.27344704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.75496311e-09    4.24241252e-01
55       5.28321266e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.75821303e-09    4.25019888e-01
56       5.29297829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.76146296e-09    4.25798233e-01
57       5.30274391e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.76471288e-09    4.26576285e-01
58       5.31250954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.76796281e-09    4.27354041e-01
59       5.32227516e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.77121273e-09    4.28131498e-01
60       5.33204079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.77446266e-09    4.28908655e-01
61       5.34180641e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.77771259e-09    4.29685508e-01
