TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
2.75408736e-09,2.75408736e-09,-5.56168542e-12,-6.67402250e-12,6.67402250e-12
2.80408736e-09,2.80408736e-09,-3.87934792e-12,-4.65521750e-12,4.65521750e-12
2.85408736e-09,2.85408736e-09,-5.27636098e-12,-6.33163317e-12,6.33163317e-12
2.90408736e-09,2.90408736e-09,-4.11523191e-12,-4.93827829e-12,4.93827829e-12
2.95408736e-09,2.95408736e-09,-5.07932289e-12,-6.09518746e-12,6.09518746e-12
3.00408736e-09,3.00408736e-09,-4.27768993e-12,-5.13322791e-12,5.13322791e-12
3.05408736e-09,3.05408736e-09,-4.94313997e-12,-5.93176797e-12,5.93176797e-12
3.10408736e-09,3.10408736e-09,-4.38948510e-12,-5.26738212e-12,5.26738212e-12
3.15408736e-09,3.15408736e-09,-4.84889312e-12,-5.81867174e-12,5.81867174e-12
3.20408736e-09,3.20408736e-09,-4.46630835e-12,-5.35957002e-12,5.35957002e-12
3.25408736e-09,3.25408736e-09,-4.78353234e-12,-5.74023881e-12,5.74023881e-12
3.30408736e-09,3.30408736e-09,-4.51897401e-12,-5.42276882e-12,5.42276882e-12
3.35408736e-09,3.35408736e-09,-4.73805312e-12,-5.68566375e-12,5.68566375e-12
3.40408736e-09,3.40408736e-09,-4.55493207e-12,-5.46591849e-12,5.46591849e-12
3.45408736e-09,3.45408736e-09,-4.70624033e-12,-5.64748840e-12,5.64748840e-12
3.50408736e-09,3.50408736e-09,-4.57931154e-12,-5.49517385e-12,5.49517385e-12
3.55408736e-09,3.55408736e-09,-4.68379907e-12,-5.62055888e-12,5.62055888e-12
3.60408736e-09,3.60408736e-09,-4.59563981e-12,-5.51476777e-12,5.51476777e-12
3.65408736e-09,3.65408736e-09,-4.66775663e-12,-5.60130796e-12,5.60130796e-12
3.70408736e-09,3.70408736e-09,-4.60633779e-12,-5.52760535e-12,5.52760535e-12
3.75408736e-09,3.75408736e-09,-4.65604977e-12,-5.58725972e-12,5.58725972e-12
3.80408736e-09,3.80408736e-09,-4.61306034e-12,-5.53567241e-12,5.53567241e-12
3.85408736e-09,3.85408736e-09,-4.64723803e-12,-5.57668564e-12,5.57668564e-12
3.90408736e-09,3.90408736e-09,-4.61693059e-12,-5.54031671e-12,5.54031671e-12
3.95408736e-09,3.95408736e-09,-4.64030691e-12,-5.56836829e-12,5.56836829e-12
4.00408736e-09,4.00408736e-09,-4.61869929e-12,-5.54243915e-12,5.54243915e-12
4.05408736e-09,4.05408736e-09,-4.63452951e-12,-5.56143542e-12,5.56143542e-12
4.10408736e-09,4.10408736e-09,-4.61885436e-12,-5.54262524e-12,5.54262524e-12
4.15408736e-09,4.15408736e-09,-4.62936903e-12,-5.55524283e-12,5.55524283e-12
4.20408736e-09,4.20408736e-09,-9.73559400e-09,-1.16827128e-08,1.16827128e-08
4.25408736e-09,4.25408736e-09,-6.40309507e-08,-7.68371408e-08,7.68371408e-08
4.30408736e-09,4.30408736e-09,-1.92964261e-07,-2.31557113e-07,2.31557113e-07
4.35408736e-09,4.35408736e-09,-4.00907771e-07,-4.81089325e-07,4.81089325e-07
4.40408736e-09,4.40408736e-09,-6.86746936e-07,-8.24096323e-07,8.24096323e-07
4.45408736e-09,4.45408736e-09,-1.04844082e-06,-1.25812898e-06,1.25812898e-06
4.50408736e-09,4.50408736e-09,-1.48324263e-06,-1.77989116e-06,1.77989116e-06
4.55408736e-09,4.55408736e-09,-1.98817140e-06,-2.38580568e-06,2.38580568e-06
4.60408736e-09,4.60408736e-09,-2.55961230e-06,-3.07153476e-06,3.07153476e-06
4.65408736e-09,4.65408736e-09,-3.19336247e-06,-3.83203496e-06,3.83203496e-06
4.70408736e-09,4.70408736e-09,-3.88413913e-06,-4.66096696e-06,4.66096696e-06
4.75408736e-09,4.75408736e-09,-4.62525396e-06,-5.55030475e-06,5.55030475e-06
4.80408736e-09,4.80408736e-09,-5.40773976e-06,-6.48928771e-06,6.48928771e-06
4.85408736e-09,4.85408736e-09,-6.21917300e-06,-7.46300761e-06,7.46300761e-06
4.90408736e-09,4.90408736e-09,-7.04137899e-06,-8.44965479e-06,8.44965479e-06
4.95408736e-09,4.95408736e-09,-7.84672273e-06,-9.41606728e-06,9.41606728e-06
5.00408736e-09,5.00408736e-09,-8.58781198e-06,-1.03053744e-05,1.03053744e-05
5.05408736e-09,5.05408736e-09,-9.18268701e-06,-1.10192244e-05,1.10192244e-05
5.10408736e-09,5.10408736e-09,-9.46014929e-06,-1.13521791e-05,1.13521791e-05
5.15408736e-09,5.15408736e-09,-9.07385833e-06,-1.08886300e-05,1.08886300e-05
5.20408736e-09,5.20408736e-09,-8.08571505e-06,-9.70285806e-06,9.70285806e-06
5.25408736e-09,5.25408736e-09,-6.84518819e-06,-8.21422582e-06,8.21422582e-06
5.30408736e-09,5.30408736e-09,-5.72100138e-06,-6.86520166e-06,6.86520166e-06
5.35408736e-09,5.35408736e-09,-4.68459455e-06,-5.62151346e-06,5.62151346e-06
5.40408736e-09,5.40408736e-09,-3.76452777e-06,-4.51743333e-06,4.51743333e-06
5.45408736e-09,5.45408736e-09,-2.93224097e-06,-3.51868916e-06,3.51868916e-06
5.50408736e-09,5.50408736e-09,-4.12163598e-06,-4.94596318e-06,4.94596318e-06
5.55408736e-09,5.55408736e-09,-2.30957043e-05,-2.77148451e-05,2.77148451e-05
5.60408736e-09,5.60408736e-09,-6.85012343e-05,-8.22014812e-05,8.22014812e-05
5.65408736e-09,5.65408736e-09,-1.47109321e-04,-1.76531185e-04,1.76531185e-04
5.69908736e-09,5.69908736e-09,-2.61555580e-05,-3.13866696e-05,3.13866696e-05
5.73958736e-09,5.73958736e-09,-1.93894405e-05,-2.32673285e-05,2.32673285e-05
5.77584680e-09,5.77584680e-09,-7.24874302e-05,-8.69849162e-05,8.69849162e-05
5.81210624e-09,5.81210624e-09,-1.61660924e-04,-1.93993108e-04,1.93993108e-04
5.84836568e-09,5.84836568e-09,-1.79827613e-04,-2.15793136e-04,2.15793136e-04
