TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
9.76244297e-09,9.76244297e-09,5.07261754e-10,6.08714105e-10,-6.08714105e-10
1.00000000e-08,1.00000000e-08,-5.12450463e-10,-6.14940556e-10,6.14940556e-10
1.02156769e-08,1.02156769e-08,-2.69486538e-11,-3.23383846e-11,3.23383846e-11
1.06470308e-08,1.06470308e-08,-1.86480248e-11,-2.23776298e-11,2.23776298e-11
1.15097385e-08,1.15097385e-08,-1.85046304e-11,-2.22055565e-11,2.22055565e-11
1.32351540e-08,1.32351540e-08,-1.86480284e-11,-2.23776341e-11,2.23776341e-11
1.66859849e-08,1.66859849e-08,-1.85078415e-11,-2.22094098e-11,2.22094098e-11
2.35876467e-08,2.35876467e-08,-1.86497753e-11,-2.23797303e-11,2.23797303e-11
3.73909703e-08,3.73909703e-08,-1.85097761e-11,-2.22117313e-11,2.22117313e-11
5.00000000e-08,5.00000000e-08,-1.86505139e-11,-2.23806167e-11,2.23806167e-11
5.04000000e-08,5.04000000e-08,-1.85754762e-11,-2.22905714e-11,2.22905714e-11
5.06936412e-08,5.06936412e-08,-1.85742500e-11,-2.22891001e-11,2.22891001e-11
5.12809236e-08,5.12809236e-08,-1.85729151e-11,-2.22874982e-11,2.22874982e-11
5.24554883e-08,5.24554883e-08,-1.85707967e-11,-2.22849560e-11,2.22849560e-11
5.48046178e-08,5.48046178e-08,-1.85599031e-11,-2.22718837e-11,2.22718837e-11
5.59791825e-08,5.59791825e-08,-1.85497647e-11,-2.22597176e-11,2.22597176e-11
5.65664649e-08,5.65664649e-08,-1.85311411e-11,-2.22373693e-11,2.22373693e-11
5.72895141e-08,5.72895141e-08,-2.40108405e-06,-2.88130086e-06,2.88130086e-06
5.75465509e-08,5.75465509e-08,-4.45972490e-06,-5.35166988e-06,5.35166988e-06
5.78035876e-08,5.78035876e-08,-6.88888008e-06,-8.26665609e-06,8.26665609e-06
5.80606244e-08,5.80606244e-08,-9.56012509e-06,-1.14721501e-05,1.14721501e-05
5.80939127e-08,5.80939127e-08,-9.79254735e-06,-1.17510568e-05,1.17510568e-05
