state	MRED	PDP
6,6,6,5,7,2,6,1,0,0,5,2,0,4,2,2,0,4,7,5,2,5,6,1,7,2,2,7,7,3,7,4,2,2,6,1,0,1,4,3,4,3,7,3,7,7,5,7,6	0.000424	1552.697130
1,0,3,0,2,0,6,6,5,2,0,6,0,1,2,0,7,5,4,5,7,6,6,4,6,1,0,5,1,5,5,1,4,1,7,1,3,5,7,1,0,0,7,6,4,7,6,2,0	0.000336	1615.697214
4,6,0,2,7,1,1,0,6,0,5,2,5,6,6,0,6,2,3,0,3,4,3,0,2,6,4,3,0,3,5,4,1,5,5,1,4,0,1,3,7,6,7,5,4,3,3,4,2	0.000368	1594.580997
4,4,7,7,4,7,0,3,5,6,3,2,3,0,4,0,3,7,6,5,1,3,6,7,1,3,5,5,6,6,7,4,7,4,5,1,0,2,7,1,1,0,4,6,6,7,7,4,7	0.000786	1380.658511
6,2,1,5,4,0,0,3,4,4,5,2,2,3,0,0,5,1,7,7,2,3,7,2,0,6,0,1,2,3,2,5,3,2,6,0,4,7,7,4,3,4,4,0,4,4,6,5,1	0.000355	1607.410984
6,0,0,3,5,2,1,3,5,2,5,2,5,3,2,1,5,6,6,2,7,4,7,6,7,3,0,2,6,3,2,7,5,4,5,0,4,5,5,1,4,4,6,5,1,7,3,7,1	0.000668	1394.373333
1,1,4,2,2,7,1,2,1,1,6,2,6,0,6,4,5,7,1,7,4,1,5,2,7,4,6,7,7,6,5,6,5,2,4,1,3,3,6,1,6,7,7,5,3,7,1,6,4	0.000441	1446.318955
6,2,4,5,3,6,6,3,7,6,7,6,3,7,4,1,2,3,5,1,7,4,7,0,3,7,1,5,1,7,4,7,4,2,4,7,5,0,3,3,2,0,1,7,6,1,6,3,2	0.001029	1376.898597
0,5,0,2,6,4,2,1,5,0,4,0,2,1,2,0,2,6,4,4,0,5,1,1,4,0,1,2,1,7,3,2,5,5,4,6,1,1,0,2,1,4,2,0,1,7,7,1,0	0.000331	1687.236310
